Name,l_deg,b_deg,RA_deg,Dec_deg,dRA_asec,dDec_asec,Peak_mJybm,dPeak_mJybm,Flux_mJy,dFlux_mJy,Angscale_asec,dAngscale_asec,AngscaleDecon_asec,gaussMajor_asec,dGaussMajor_asec,gaussMinor_asec,dGaussMminor_asec,gaussPosangle_deg,dGaussPosangle_deg,RMS_mJybm,Sky_mJybm,Sigma,mType,fArtefact,fCluster,fEdge,fHiNoise,fHi5Sig,fNearBright,fSmoothWeighting,fOverlap7sig,fOverlap5sig
G054.0773-00.8149,054.07731,-00.81492,293.61400,+18.33261,00.11,00.11,00006.61,00000.64,00011.93,00001.25,02.015,00.062,01.3,02.044,00.090,01.987,00.086,129.175,54.877,00.23,-0.007,0027.0,G,0,1,0,0,0,0,0,0,0
G054.0773-00.8119,054.07732,-00.81195,293.61127,+18.33406,00.10,00.10,00028.14,00002.52,00034.68,00003.13,01.665,00.026,,01.700,00.038,01.631,00.036,48.790,08.919,00.23,-0.001,0124.1,G,0,1,0,0,0,0,0,1,0
G054.0776-00.8126,054.07764,-00.81257,293.61202,+18.33405,00.12,00.12,00004.27,00000.45,00004.27,00000.58,01.500,00.072,,01.500,00.108,01.500,00.095,138.664,34.074,00.23,-0.003,0034.1,G,0,1,0,0,0,0,0,1,0
G054.0777-00.8134,054.07769,-00.81335,293.61276,+18.33371,00.10,00.10,00030.05,00002.69,00032.74,00002.95,01.566,00.024,,01.602,00.035,01.530,00.033,126.593,07.106,00.23,-0.004,0126.5,G,0,1,0,0,0,0,0,1,0
G054.0779-00.8119,054.07795,-00.81191,293.61156,+18.33463,00.23,00.21,00001.54,00000.29,00001.86,00000.57,01.649,00.224,,01.813,00.376,01.500,00.263,125.874,36.905,00.23,-0.002,0059.0,G,0,1,0,0,0,0,0,1,0
G054.1686-00.0095,054.16862,-00.00947,292.91668,+18.80243,00.34,00.32,00013.52,00001.21,00054.21,00005.92,03.874,00.018,03.6,,,,,,,00.26,-0.000,0050.9,P,0,1,0,0,0,0,0,1,0
G054.1703-00.0092,054.17031,-00.00920,292.91739,+18.80355,00.34,00.29,00001.57,00000.31,00002.67,00000.83,01.951,00.303,01.2,02.538,00.653,01.500,00.261,127.307,12.734,00.26,-0.023,0009.9,G,0,1,0,0,0,0,0,1,0
G054.1719-00.0101,054.17192,-00.01012,292.91870,+18.80482,00.37,00.39,00009.08,00000.82,00050.78,00005.99,04.375,00.022,04.1,,,,,,,00.26,-0.006,0033.4,P,0,1,0,0,0,0,0,1,0
G054.2798-00.7330,054.27981,-00.73298,293.64205,+18.54942,00.20,00.16,00001.78,00000.28,00002.16,00000.54,01.652,00.178,,01.806,00.295,01.512,00.211,83.696,31.377,00.23,-0.003,0007.1,G,0,0,0,0,0,0,0,0,0
G054.2808-00.7253,054.28080,-00.72531,293.63548,+18.55401,00.12,00.12,00003.72,00000.41,00004.62,00000.64,01.670,00.083,,01.759,00.129,01.585,00.106,07.976,24.871,00.23,-0.005,0016.1,G,0,0,0,0,0,0,0,0,0
G054.5368+00.3460,054.53683,+00.34596,292.77480,+19.29578,01.03,00.96,00007.19,00000.67,00011.87,00001.63,02.171,00.031,01.6,,,,,,,00.24,-0.004,0028.8,P,0,1,0,0,0,0,0,0,0
G054.5385+00.3434,054.53854,+00.34336,292.77800,+19.29602,00.12,00.13,00003.59,00000.41,00004.57,00000.69,01.693,00.096,,01.751,00.144,01.636,00.127,10.345,44.976,00.24,0.007,0014.4,G,0,1,0,0,0,0,0,0,0
