Name,l_deg,b_deg,RA_deg,Dec_deg,dRA_asec,dDec_asec,Peak_mJybm,dPeak_mJybm,Flux_mJy,dFlux_mJy,Angscale_asec,dAngscale_asec,AngscaleDecon_asec,gaussMajor_asec,dGaussMajor_asec,gaussMinor_asec,dGaussMminor_asec,gaussPosangle_deg,dGaussPosangle_deg,RMS_mJybm,Sky_mJybm,Sigma,mType,fArtefact,fCluster,fEdge,fHiNoise,fHi5Sig,fNearBright,fSmoothWeighting,fOverlap7sig,fOverlap5sig
G030.0294-00.3318,030.02942,-00.33177,281.83062,-02.73436,00.12,00.11,00009.35,00000.95,00012.97,00001.56,01.767,00.070,,01.879,00.110,01.661,00.089,114.465,16.249,00.43,-0.013,0020.0,G,0,0,0,0,0,0,0,0,0
G030.2335-00.1385,030.23349,-00.13845,281.75166,-02.46454,00.12,00.12,00285.42,00025.40,00360.35,00032.91,01.825,00.002,01.0,,,,,,,00.37,0.003,0765.3,P,0,0,0,0,1,0,1,0,0
G030.5302+00.1315,030.53017,+00.13147,281.64664,-02.07769,01.86,01.85,00002.45,00000.30,00010.17,00002.32,03.369,00.078,03.0,,,,,,,00.30,-0.007,0007.1,P,0,0,0,0,0,0,0,0,0
G030.6670-00.3319,030.66698,-00.33190,282.12180,-02.16711,00.16,00.16,00114.55,00010.20,00145.92,00013.87,01.806,00.004,01.0,,,,,,,00.33,-0.063,0347.4,P,0,0,0,0,1,0,1,0,0
G030.8560+00.3826,030.85602,+00.38256,281.57201,-01.67288,00.10,00.10,00022.87,00002.07,00049.48,00004.55,02.206,00.041,01.6,02.260,00.059,02.154,00.056,153.779,13.933,00.34,0.008,0063.5,G,0,0,0,0,0,0,0,0,0
G031.2131-00.1803,031.21308,-00.18028,282.23603,-01.61193,00.15,00.16,00002.97,00000.43,00002.97,00000.67,01.500,00.139,,01.500,00.206,01.500,00.188,177.519,90.000,00.32,-0.005,0008.0,G,0,0,0,0,0,0,0,0,0
G031.3724-00.7514,031.37238,-00.75138,282.81718,-01.73055,00.11,00.11,00010.91,00001.04,00022.66,00002.29,02.162,00.061,01.6,02.194,00.088,02.131,00.084,118.789,46.904,00.35,-0.008,0029.9,G,0,0,0,0,0,0,0,0,0
G032.3076+00.1536,032.30764,+00.15361,282.43810,-00.48555,00.11,00.11,00013.52,00001.31,00017.67,00001.92,01.715,00.054,,01.833,00.085,01.605,00.068,163.551,11.340,00.46,-0.020,0029.1,G,0,1,0,1,0,0,0,1,0
G032.5485-00.4739,032.54849,-00.47393,283.10645,-00.55735,00.10,00.10,00024.91,00002.25,00051.45,00004.71,02.156,00.038,01.5,02.316,00.060,02.006,00.050,14.566,04.130,00.35,-0.002,0070.4,G,0,0,0,0,0,0,0,0,0
G032.6136+00.7971,032.61359,+00.79708,282.00494,+00.08016,00.15,00.19,00002.75,00000.41,00003.50,00000.79,01.691,00.164,,01.855,00.274,01.543,00.194,09.142,27.166,00.32,-0.020,0007.6,G,0,0,0,0,0,0,0,0,0
