Name,l_deg,b_deg,RA_deg,Dec_deg,dRA_asec,dDec_asec,Peak_mJybm,dPeak_mJybm,Flux_mJy,dFlux_mJy,Angscale_asec,dAngscale_asec,AngscaleDecon_asec,gaussMajor_asec,dGaussMajor_asec,gaussMinor_asec,dGaussMminor_asec,gaussPosangle_deg,dGaussPosangle_deg,RMS_mJybm,Sky_mJybm,Sigma,mType,fArtefact,fCluster,fEdge,fHiNoise,fHi5Sig,fNearBright,fSmoothWeighting,fOverlap7sig,fOverlap5sig
G018.4719+00.3401,018.47192,+00.34012,275.84496,-12.68101,00.10,00.10,00015.68,00001.43,00016.87,00001.60,01.556,00.031,,01.579,00.044,01.534,00.043,127.813,36.518,00.27,0.013,0055.2,G,0,0,0,0,0,0,0,0,0
G018.7086-00.1265,018.70864,-00.12646,276.38115,-12.69002,00.17,00.17,00087.87,00007.82,00144.26,00013.96,02.080,00.005,01.4,,,,,,,00.31,-0.008,0287.1,P,0,0,0,0,0,0,0,0,0
G018.8492+00.2167,018.84921,+00.21668,276.13767,-12.40543,00.17,00.15,00002.48,00000.37,00002.74,00000.65,01.578,00.155,,01.660,00.241,01.500,00.198,92.081,52.167,00.33,-0.022,0007.2,G,0,0,0,0,0,0,1,0,0
G019.2024-00.5677,019.20241,-00.56766,277.01683,-12.45869,00.17,00.15,00002.95,00000.40,00004.60,00000.85,01.873,00.151,01.1,02.033,00.245,01.726,00.184,108.036,25.723,00.29,0.007,0009.1,G,0,0,0,0,0,0,0,0,0
G020.6568-00.9640,020.65678,-00.96399,278.06431,-11.35351,00.20,00.27,00003.04,00000.50,00006.40,00001.44,02.178,00.245,01.6,02.543,00.442,01.865,00.266,161.500,18.177,00.37,-0.018,0008.2,G,0,0,0,0,0,0,0,0,0
G020.9689+00.9779,020.96892,+00.97786,276.46091,-10.17573,00.13,00.14,00003.79,00000.47,00004.11,00000.73,01.564,00.106,,01.630,00.162,01.500,00.138,06.562,43.546,00.33,0.009,0010.7,G,0,0,0,0,0,0,0,0,0
G021.4146-00.1112,021.41464,-00.11123,277.65132,-10.28723,00.15,00.15,00003.01,00000.44,00003.01,00000.70,01.500,00.139,,01.500,00.196,01.500,00.196,01.411,90.000,00.35,0.004,0007.6,G,0,0,0,0,1,0,0,0,0
G021.7622+01.0163,021.76217,+01.01631,276.80135,-09.45601,00.11,00.11,00008.84,00000.87,00009.45,00001.08,01.551,00.052,,01.603,00.077,01.500,00.069,149.572,24.649,00.36,-0.003,0021.6,G,0,0,0,0,0,0,0,0,0
G022.1540-00.1542,022.15397,-00.15417,278.03721,-09.65162,00.10,00.10,00017.32,00001.58,00022.29,00002.10,01.702,00.034,,01.799,00.051,01.610,00.044,153.578,06.726,00.30,-0.016,0055.2,G,0,1,0,0,0,0,0,0,0
G022.1556-00.1565,022.15564,-00.15654,278.03976,-09.65129,00.89,00.89,00003.81,00000.38,00021.70,00003.33,04.516,00.050,04.3,,,,,,,00.31,-0.022,0011.5,P,0,1,0,0,0,0,0,0,0
G023.6893+00.0791,023.68932,+00.07913,278.54489,-08.18186,00.19,00.16,00005.35,00000.77,00007.34,00001.55,01.757,00.161,,02.058,00.299,01.500,00.168,123.378,13.875,00.55,0.112,0009.3,G,0,0,0,1,0,0,0,0,0
G024.4513+00.7920,024.45133,+00.79201,278.26116,-07.17700,00.16,00.17,00003.25,00000.46,00004.09,00000.86,01.684,00.149,,01.803,00.238,01.573,00.185,149.367,34.334,00.34,-0.019,0008.7,G,0,0,0,0,0,0,0,0,0
G024.5343-00.1020,024.53432,-00.10204,279.09986,-07.51508,00.11,00.11,00006.54,00000.68,00006.54,00000.86,01.500,00.065,,01.500,00.094,01.500,00.090,118.067,87.689,00.36,0.020,0015.6,G,0,0,0,0,0,0,0,0,0
